entity,perturbation_type,fact_type,true_value,wrong_value,question,correct_statement,false_premise
Rear Window,person,film_director_swap,Alfred Hitchcock,Bill Roberts,How did the visual style of director Bill Roberts manifest in the cinematography of their film Rear Window?,"The film Rear Window was directed by Alfred Hitchcock, not Bill Roberts. Bill Roberts was likely a collaborator or from a similar era.",The question incorrectly states Bill Roberts instead of the correct value Alfred Hitchcock.
Rebecca,person,film_director_swap,Alfred Hitchcock,Gerald Cotts,How did the visual style of director Gerald Cotts manifest in the cinematography of their film Rebecca?,"The film Rebecca was directed by Alfred Hitchcock, not Gerald Cotts. Gerald Cotts was likely a collaborator or from a similar era.",The question incorrectly states Gerald Cotts instead of the correct value Alfred Hitchcock.
RED,person,film_director_swap,Robert Schwentke,Tim Boxell,How did the visual style of director Tim Boxell manifest in the cinematography of their film RED?,"The film RED was directed by Robert Schwentke, not Tim Boxell. Tim Boxell was likely a collaborator or from a similar era.",The question incorrectly states Tim Boxell instead of the correct value Robert Schwentke.
Requiem for a Dream,person,film_director_swap,Darren Aronofsky,Tom Hooper,How did the visual style of director Tom Hooper manifest in the cinematography of their film Requiem for a Dream?,"The film Requiem for a Dream was directed by Darren Aronofsky, not Tom Hooper. Tom Hooper was likely a collaborator or from a similar era.",The question incorrectly states Tom Hooper instead of the correct value Darren Aronofsky.
Reservoir Dogs,person,film_director_swap,Quentin Tarantino,Jonathan Kaplan,How did the visual style of director Jonathan Kaplan manifest in the cinematography of their film Reservoir Dogs?,"The film Reservoir Dogs was directed by Quentin Tarantino, not Jonathan Kaplan. Jonathan Kaplan was likely a collaborator or from a similar era.",The question incorrectly states Jonathan Kaplan instead of the correct value Quentin Tarantino.
Resident Evil,person,film_director_swap,Paul W. S. Anderson,Jan de Bont,How did the visual style of director Jan de Bont manifest in the cinematography of their film Resident Evil?,"The film Resident Evil was directed by Paul W. S. Anderson, not Jan de Bont. Jan de Bont was likely a collaborator or from a similar era.",The question incorrectly states Jan de Bont instead of the correct value Paul W. S. Anderson.
Resident Evil: Apocalypse,person,film_director_swap,Alexander Witt,Tom Hall,How did the visual style of director Tom Hall manifest in the cinematography of their film Resident Evil: Apocalypse?,"The film Resident Evil: Apocalypse was directed by Alexander Witt, not Tom Hall. Tom Hall was likely a collaborator or from a similar era.",The question incorrectly states Tom Hall instead of the correct value Alexander Witt.
Rise of the Planet of the Apes,person,film_director_swap,Rupert Wyatt,Mark Story,How did the visual style of director Mark Story manifest in the cinematography of their film Rise of the Planet of the Apes?,"The film Rise of the Planet of the Apes was directed by Rupert Wyatt, not Mark Story. Mark Story was likely a collaborator or from a similar era.",The question incorrectly states Mark Story instead of the correct value Rupert Wyatt.
Robin Hood,person,film_director_swap,Ridley Scott,Genndy Tartakovsky,How did the visual style of director Genndy Tartakovsky manifest in the cinematography of their film Robin Hood?,"The film Robin Hood was directed by Ridley Scott, not Genndy Tartakovsky. Genndy Tartakovsky was likely a collaborator or from a similar era.",The question incorrectly states Genndy Tartakovsky instead of the correct value Ridley Scott.
RoboCop,person,film_director_swap,Paul Verhoeven,Wes Craven,How did the visual style of director Wes Craven manifest in the cinematography of their film RoboCop?,"The film RoboCop was directed by Paul Verhoeven, not Wes Craven. Wes Craven was likely a collaborator or from a similar era.",The question incorrectly states Wes Craven instead of the correct value Paul Verhoeven.
Rocky,person,film_director_swap,John G. Avildsen,Aaron Horvath,How did the visual style of director Aaron Horvath manifest in the cinematography of their film Rocky?,"The film Rocky was directed by John G. Avildsen, not Aaron Horvath. Aaron Horvath was likely a collaborator or from a similar era.",The question incorrectly states Aaron Horvath instead of the correct value John G. Avildsen.
Rogue One: A Star Wars Story,person,film_director_swap,Gareth Edwards,Greg Tiernan,How did the visual style of director Greg Tiernan manifest in the cinematography of their film Rogue One: A Star Wars Story?,"The film Rogue One: A Star Wars Story was directed by Gareth Edwards, not Greg Tiernan. Greg Tiernan was likely a collaborator or from a similar era.",The question incorrectly states Greg Tiernan instead of the correct value Gareth Edwards.
10 Downing Street,location,org_jurisdiction,United Kingdom,"Kingdom of Serbs, Croats and Slovenes","Under the federal laws of Kingdom of Serbs, Croats and Slovenes, what regulatory requirements must 10 Downing Street currently follow?","No, 10 Downing Street is located in United Kingdom, not Kingdom of Serbs, Croats and Slovenes. It follows United Kingdom regulations.","The question incorrectly states Kingdom of Serbs, Croats and Slovenes instead of the correct value United Kingdom."
10ᵗʰ arrondissement of Paris,location,org_jurisdiction,France,Waqooyi-Bari,"Under the federal laws of Waqooyi-Bari, what regulatory requirements must 10ᵗʰ arrondissement of Paris currently follow?","No, 10ᵗʰ arrondissement of Paris is located in France, not Waqooyi-Bari. It follows France regulations.",The question incorrectly states Waqooyi-Bari instead of the correct value France.
11th arrondissement of Paris,location,org_jurisdiction,France,Uzbek Soviet Socialist Republic,"Under the federal laws of Uzbek Soviet Socialist Republic, what regulatory requirements must 11th arrondissement of Paris currently follow?","No, 11th arrondissement of Paris is located in France, not Uzbek Soviet Socialist Republic. It follows France regulations.",The question incorrectly states Uzbek Soviet Socialist Republic instead of the correct value France.
12th arrondissement of Paris,location,org_jurisdiction,France,Seventeen Provinces,"Under the federal laws of Seventeen Provinces, what regulatory requirements must 12th arrondissement of Paris currently follow?","No, 12th arrondissement of Paris is located in France, not Seventeen Provinces. It follows France regulations.",The question incorrectly states Seventeen Provinces instead of the correct value France.
13th arrondissement of Paris,location,org_jurisdiction,France,Empire of Japan,"Under the federal laws of Empire of Japan, what regulatory requirements must 13th arrondissement of Paris currently follow?","No, 13th arrondissement of Paris is located in France, not Empire of Japan. It follows France regulations.",The question incorrectly states Empire of Japan instead of the correct value France.
14th arrondissement of Paris,location,org_jurisdiction,France,Republic of Kosova,"Under the federal laws of Republic of Kosova, what regulatory requirements must 14th arrondissement of Paris currently follow?","No, 14th arrondissement of Paris is located in France, not Republic of Kosova. It follows France regulations.",The question incorrectly states Republic of Kosova instead of the correct value France.
1556 Shaanxi earthquake,location,org_jurisdiction,Ming dynasty,Taymyrsky Dolgano-Nenetsky District,"Under the federal laws of Taymyrsky Dolgano-Nenetsky District, what regulatory requirements must 1556 Shaanxi earthquake currently follow?","No, 1556 Shaanxi earthquake is located in Ming dynasty, not Taymyrsky Dolgano-Nenetsky District. It follows Ming dynasty regulations.",The question incorrectly states Taymyrsky Dolgano-Nenetsky District instead of the correct value Ming dynasty.
15th arrondissement of Paris,location,org_jurisdiction,France,Second Polish Republic,"Under the federal laws of Second Polish Republic, what regulatory requirements must 15th arrondissement of Paris currently follow?","No, 15th arrondissement of Paris is located in France, not Second Polish Republic. It follows France regulations.",The question incorrectly states Second Polish Republic instead of the correct value France.
1755 Lisbon earthquake,location,org_jurisdiction,Portugal,Malokarachayevsky District,"Under the federal laws of Malokarachayevsky District, what regulatory requirements must 1755 Lisbon earthquake currently follow?","No, 1755 Lisbon earthquake is located in Portugal, not Malokarachayevsky District. It follows Portugal regulations.",The question incorrectly states Malokarachayevsky District instead of the correct value Portugal.
17th arrondissement of Paris,location,org_jurisdiction,France,Lithuania,"Under the federal laws of Lithuania, what regulatory requirements must 17th arrondissement of Paris currently follow?","No, 17th arrondissement of Paris is located in France, not Lithuania. It follows France regulations.",The question incorrectly states Lithuania instead of the correct value France.
1896 Summer Olympics,location,org_jurisdiction,Kingdom of Greece,Tokugawa shogunate,"Under the federal laws of Tokugawa shogunate, what regulatory requirements must 1896 Summer Olympics currently follow?","No, 1896 Summer Olympics is located in Kingdom of Greece, not Tokugawa shogunate. It follows Kingdom of Greece regulations.",The question incorrectly states Tokugawa shogunate instead of the correct value Kingdom of Greece.
